{'moisture_value_1': 25400.0, 'moisture_value_2': 760.0, 'moisture_value_3': -66.66666666666669, 'temp_value_1': 68.225, 'temp_value_2': 63.725, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M38S46'}
{'moisture_value_1': 25300.0, 'moisture_value_2': 760.0, 'moisture_value_3': -133.33333333333334, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.6116, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M39S19'}
{'moisture_value_1': 25300.0, 'moisture_value_2': 740.0, 'moisture_value_3': -183.33333333333337, 'temp_value_1': 68.225, 'temp_value_2': 63.725, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M39S52'}
{'moisture_value_1': 25900.0, 'moisture_value_2': 760.0, 'moisture_value_3': -183.33333333333337, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.725, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M40S24'}
{'moisture_value_1': 25800.0, 'moisture_value_2': 740.0, 'moisture_value_3': -183.33333333333337, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.6116, 'temp_value_3': 64.2866, 'time': 'D01M06Y2021H00M40S57'}
{'moisture_value_1': 26100.0, 'moisture_value_2': 760.0, 'moisture_value_3': -200.0, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.6116, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M41S29'}
{'moisture_value_1': 25900.0, 'moisture_value_2': 760.0, 'moisture_value_3': -200.0, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.6116, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M42S02'}
{'moisture_value_1': 26000.0, 'moisture_value_2': 820.0, 'moisture_value_3': -183.33333333333337, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.6116, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M42S35'}
{'moisture_value_1': 26100.0, 'moisture_value_2': 820.0, 'moisture_value_3': -133.33333333333334, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.6116, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M43S07'}
{'moisture_value_1': 25900.0, 'moisture_value_2': 820.0, 'moisture_value_3': -66.66666666666669, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.6116, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M43S40'}
{'moisture_value_1': 26100.0, 'moisture_value_2': 820.0, 'moisture_value_3': -66.66666666666669, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.6116, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M44S13'}
{'moisture_value_1': 26500.0, 'moisture_value_2': 800.0, 'moisture_value_3': -66.66666666666669, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.6116, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M44S45'}
{'moisture_value_1': 26600.0, 'moisture_value_2': 800.0, 'moisture_value_3': -66.66666666666669, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.6116, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M45S18'}
{'moisture_value_1': 26300.0, 'moisture_value_2': 820.0, 'moisture_value_3': -66.66666666666669, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.5, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M45S51'}
{'moisture_value_1': 26400.0, 'moisture_value_2': 780.0, 'moisture_value_3': -83.33333333333331, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.5, 'temp_value_3': 64.2866, 'time': 'D01M06Y2021H00M46S23'}
{'moisture_value_1': 26100.0, 'moisture_value_2': 780.0, 'moisture_value_3': -116.66666666666666, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.6116, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M46S56'}
{'moisture_value_1': 26000.0, 'moisture_value_2': 760.0, 'moisture_value_3': -150.0, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.5, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M47S29'}
{'moisture_value_1': 26100.0, 'moisture_value_2': 760.0, 'moisture_value_3': -216.66666666666663, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.6116, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M48S01'}
{'moisture_value_1': 26300.0, 'moisture_value_2': 740.0, 'moisture_value_3': -216.66666666666663, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.5, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M48S34'}
{'moisture_value_1': 25800.0, 'moisture_value_2': 740.0, 'moisture_value_3': -250.0, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.5, 'temp_value_3': 64.2866, 'time': 'D01M06Y2021H00M49S06'}
{'moisture_value_1': 25900.0, 'moisture_value_2': 740.0, 'moisture_value_3': -250.0, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.5, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M49S39'}
{'moisture_value_1': 26000.0, 'moisture_value_2': 760.0, 'moisture_value_3': -233.33333333333337, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.5, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M50S12'}
{'moisture_value_1': 26000.0, 'moisture_value_2': 820.0, 'moisture_value_3': -216.66666666666663, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.5, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M50S44'}
{'moisture_value_1': 26000.0, 'moisture_value_2': 820.0, 'moisture_value_3': -183.33333333333337, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.5, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M51S17'}
{'moisture_value_1': 26100.0, 'moisture_value_2': 820.0, 'moisture_value_3': -116.66666666666666, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.5, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M51S50'}
{'moisture_value_1': 27000.0, 'moisture_value_2': 820.0, 'moisture_value_3': -83.33333333333331, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.5, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M52S22'}
{'moisture_value_1': 27900.0, 'moisture_value_2': 800.0, 'moisture_value_3': -100.0, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.5, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M52S55'}
{'moisture_value_1': 28700.0, 'moisture_value_2': 820.0, 'moisture_value_3': -100.0, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.5, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M53S28'}
{'moisture_value_1': 28300.0, 'moisture_value_2': 800.0, 'moisture_value_3': -100.0, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.5, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M54S00'}
{'moisture_value_1': 28600.0, 'moisture_value_2': 800.0, 'moisture_value_3': -100.0, 'temp_value_1': 68.11160000000001, 'temp_value_2': 63.3866, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M54S33'}
{'moisture_value_1': 28100.0, 'moisture_value_2': 780.0, 'moisture_value_3': -133.33333333333334, 'temp_value_1': 68.0, 'temp_value_2': 63.3866, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M55S05'}
{'moisture_value_1': 28200.0, 'moisture_value_2': 780.0, 'moisture_value_3': -200.0, 'temp_value_1': 68.0, 'temp_value_2': 63.3866, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M55S38'}
{'moisture_value_1': 28100.0, 'moisture_value_2': 760.0, 'moisture_value_3': -266.66666666666663, 'temp_value_1': 68.0, 'temp_value_2': 63.5, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M56S11'}
{'moisture_value_1': 28200.0, 'moisture_value_2': 760.0, 'moisture_value_3': -283.33333333333337, 'temp_value_1': 68.0, 'temp_value_2': 63.5, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M56S43'}
{'moisture_value_1': 28300.0, 'moisture_value_2': 760.0, 'moisture_value_3': -283.33333333333337, 'temp_value_1': 68.0, 'temp_value_2': 63.3866, 'temp_value_3': 64.2866, 'time': 'D01M06Y2021H00M57S16'}
{'moisture_value_1': 28500.0, 'moisture_value_2': 760.0, 'moisture_value_3': -283.33333333333337, 'temp_value_1': 68.0, 'temp_value_2': 63.5, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M57S49'}
{'moisture_value_1': 28500.0, 'moisture_value_2': 760.0, 'moisture_value_3': -300.0, 'temp_value_1': 68.0, 'temp_value_2': 63.3866, 'temp_value_3': 64.2866, 'time': 'D01M06Y2021H00M58S21'}
{'moisture_value_1': 28500.0, 'moisture_value_2': 820.0, 'moisture_value_3': -283.33333333333337, 'temp_value_1': 68.0, 'temp_value_2': 63.5, 'temp_value_3': 64.2866, 'time': 'D01M06Y2021H00M58S54'}
{'moisture_value_1': 28400.0, 'moisture_value_2': 840.0, 'moisture_value_3': -250.0, 'temp_value_1': 68.0, 'temp_value_2': 63.3866, 'temp_value_3': 64.2866, 'time': 'D01M06Y2021H00M59S27'}
{'moisture_value_1': 28700.0, 'moisture_value_2': 840.0, 'moisture_value_3': -183.33333333333337, 'temp_value_1': 68.0, 'temp_value_2': 63.3866, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H00M59S59'}
{'moisture_value_1': 28400.0, 'moisture_value_2': 820.0, 'moisture_value_3': -150.0, 'temp_value_1': 68.0, 'temp_value_2': 63.5, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H01M00S32'}
{'moisture_value_1': 28300.0, 'moisture_value_2': 820.0, 'moisture_value_3': -150.0, 'temp_value_1': 68.0, 'temp_value_2': 63.3866, 'temp_value_3': 64.2866, 'time': 'D01M06Y2021H01M01S05'}
{'moisture_value_1': 28300.0, 'moisture_value_2': 820.0, 'moisture_value_3': -150.0, 'temp_value_1': 68.0, 'temp_value_2': 63.3866, 'temp_value_3': 64.2866, 'time': 'D01M06Y2021H01M01S37'}
{'moisture_value_1': 28300.0, 'moisture_value_2': 800.0, 'moisture_value_3': -133.33333333333334, 'temp_value_1': 68.0, 'temp_value_2': 63.275, 'temp_value_3': 64.2866, 'time': 'D01M06Y2021H01M02S10'}
{'moisture_value_1': 28300.0, 'moisture_value_2': 800.0, 'moisture_value_3': -133.33333333333334, 'temp_value_1': 68.0, 'temp_value_2': 63.3866, 'temp_value_3': 64.2866, 'time': 'D01M06Y2021H01M02S42'}
{'moisture_value_1': 28400.0, 'moisture_value_2': 780.0, 'moisture_value_3': -166.66666666666663, 'temp_value_1': 68.0, 'temp_value_2': 63.3866, 'temp_value_3': 64.2866, 'time': 'D01M06Y2021H01M03S15'}
{'moisture_value_1': 28300.0, 'moisture_value_2': 780.0, 'moisture_value_3': -216.66666666666663, 'temp_value_1': 68.0, 'temp_value_2': 63.3866, 'temp_value_3': 64.4, 'time': 'D01M06Y2021H01M03S48'}
{'moisture_value_1': 28300.0, 'moisture_value_2': 780.0, 'moisture_value_3': -283.33333333333337, 'temp_value_1': 68.0, 'temp_value_2': 63.3866, 'temp_value_3': 64.2866, 'time': 'D01M06Y2021H01M04S20'}
