{'moisture_value_1': 11200.0, 'moisture_value_2': -52.63157894736844, 'moisture_value_3': 25.0, 'temp_value_1': 66.0866, 'temp_value_2': 64.0616, 'temp_value_3': 64.2866, 'time': 'D25M10Y2021H15M46S27'}
{'moisture_value_1': 11200.0, 'moisture_value_2': 94.73684210526316, 'moisture_value_3': 25.0, 'temp_value_1': 66.0866, 'temp_value_2': 64.0616, 'temp_value_3': 64.2866, 'time': 'D25M10Y2021H15M47S00'}
{'moisture_value_1': 11200.0, 'moisture_value_2': -15.789473684210535, 'moisture_value_3': 37.5, 'temp_value_1': 66.0866, 'temp_value_2': 63.95, 'temp_value_3': 64.175, 'time': 'D25M10Y2021H15M47S32'}
{'moisture_value_1': 11200.0, 'moisture_value_2': 10.526315789473685, 'moisture_value_3': 25.0, 'temp_value_1': 66.0866, 'temp_value_2': 63.95, 'temp_value_3': 64.175, 'time': 'D25M10Y2021H15M48S05'}
{'moisture_value_1': 11200.0, 'moisture_value_2': -26.315789473684205, 'moisture_value_3': 37.5, 'temp_value_1': 66.0866, 'temp_value_2': 63.95, 'temp_value_3': 64.175, 'time': 'D25M10Y2021H15M48S38'}
{'moisture_value_1': 11200.0, 'moisture_value_2': 57.89473684210527, 'moisture_value_3': 37.5, 'temp_value_1': 65.975, 'temp_value_2': 63.95, 'temp_value_3': 64.175, 'time': 'D25M10Y2021H15M49S10'}
{'moisture_value_1': 11100.0, 'moisture_value_2': 110.52631578947368, 'moisture_value_3': 37.5, 'temp_value_1': 65.975, 'temp_value_2': 63.836600000000004, 'temp_value_3': 64.175, 'time': 'D25M10Y2021H15M49S43'}
{'moisture_value_1': 11200.0, 'moisture_value_2': 15.789473684210535, 'moisture_value_3': 37.5, 'temp_value_1': 66.0866, 'temp_value_2': 63.95, 'temp_value_3': 64.0616, 'time': 'D25M10Y2021H15M50S16'}
{'moisture_value_1': 11100.0, 'moisture_value_2': -73.68421052631581, 'moisture_value_3': 37.5, 'temp_value_1': 65.975, 'temp_value_2': 63.836600000000004, 'temp_value_3': 64.175, 'time': 'D25M10Y2021H15M50S48'}
{'moisture_value_1': 11100.0, 'moisture_value_2': -10.5263157894737, 'moisture_value_3': 37.5, 'temp_value_1': 65.975, 'temp_value_2': 63.95, 'temp_value_3': 64.0616, 'time': 'D25M10Y2021H15M51S21'}
{'moisture_value_1': 11100.0, 'moisture_value_2': 84.21052631578948, 'moisture_value_3': 37.5, 'temp_value_1': 65.975, 'temp_value_2': 63.836600000000004, 'temp_value_3': 64.0616, 'time': 'D25M10Y2021H15M51S54'}
